window_id,window_start,window_end,window_center,window_W_seconds,window_stride_seconds,Tde_global_p99_ms_all,Tde_count,Tde_mean_ms,Tde_std_ms,Tde_max_ms,Tde_p95_ms,Tde_p99_ms,Tde_q1_ms,Tde_q3_ms,Tde_iqr_ms,Tde_tail_ratio_p99_mean,Tde_tail_exceed_rate,Tde_winsorized_mean_ms_p95cap,Tis_global_p99_ms_all,Tis_count,Tis_mean_ms,Tis_std_ms,Tis_max_ms,Tis_p95_ms,Tis_p99_ms,Tis_q1_ms,Tis_q3_ms,Tis_iqr_ms,Tis_tail_ratio_p99_mean,Tis_tail_exceed_rate,Tis_winsorized_mean_ms_p95cap,split
1,2025-05-28 22:59:23.347167,2025-05-28 23:04:23.347167,2025-05-28 23:01:53.347167,300,30,0.14247,20,0.06699999999999999,0.016202663848561248,0.106,0.08985000000000001,0.10276999999999997,0.06175,0.07425,0.012499999999999997,1.5338805970149252,0.0,0.0661925,2331.46382,20,964.5401000000002,220.56394955011885,1354.661,1352.18245,1354.16529,833.0595,1083.2292499999999,250.1697499999999,1.4039491878046333,0.0,964.4161725000001,train
2,2025-05-28 22:59:53.347167,2025-05-28 23:04:53.347167,2025-05-28 23:02:23.347167,300,30,0.14247,18,0.06761111111111111,0.01783631091139938,0.106,0.09494999999999998,0.10378999999999998,0.06125,0.07375,0.012499999999999997,1.5351027115858666,0.0,0.06699722222222221,2331.46382,20,1071.8141,344.8997019978417,1973.132,1783.3476500000002,1935.1751299999999,841.80025,1197.76325,355.96299999999997,1.805513782660631,0.0,1062.3248825,train
3,2025-05-28 23:00:23.347167,2025-05-28 23:05:23.347167,2025-05-28 23:02:53.347167,300,30,0.14247,20,0.06775,0.016954660902412336,0.106,0.09365000000000001,0.10352999999999998,0.06175,0.074,0.012249999999999997,1.5281180811808115,0.0,0.06713250000000001,2331.46382,20,1114.9671999999998,330.7990940770068,1973.132,1783.3476500000002,1935.1751299999999,875.325,1273.6145000000001,398.2895000000001,1.7356341334525358,0.0,1105.4779824999998,train
4,2025-05-28 23:00:53.347167,2025-05-28 23:05:53.347167,2025-05-28 23:03:23.347167,300,30,0.14247,19,0.06657894736842106,0.014960376515886088,0.093,0.0894,0.09228,0.062,0.074,0.011999999999999997,1.3860237154150197,0.0,0.06638947368421053,2331.46382,20,1172.3286999999998,369.0447232378411,1973.132,1819.53125,1942.4118499999997,875.325,1352.70425,477.37924999999996,1.6568833041449895,0.0,1164.6486624999998,train
5,2025-05-28 23:01:23.347167,2025-05-28 23:06:23.347167,2025-05-28 23:03:53.347167,300,30,0.14247,18,0.06772222222222223,0.01521147227880618,0.093,0.08959999999999999,0.09231999999999999,0.064,0.074,0.009999999999999995,1.3632157506152582,0.0,0.06753333333333333,2331.46382,20,1201.5641500000002,366.41175553729676,1973.132,1819.53125,1942.4118499999997,879.18025,1373.35275,494.1725,1.6165694107967514,0.0,1193.8841125000001,train
6,2025-05-28 23:01:53.347167,2025-05-28 23:06:53.347167,2025-05-28 23:04:23.347167,300,30,0.14247,19,0.06799999999999999,0.014441452681622979,0.093,0.0894,0.09228,0.064,0.074,0.009999999999999995,1.3570588235294119,0.0,0.06781052631578946,2331.46382,20,1236.8048000000001,364.88605631067617,1973.132,1819.53125,1942.4118499999997,934.127,1458.42575,524.2987500000002,1.5705080138757543,0.0,1229.1247625,train
7,2025-05-28 23:02:23.347167,2025-05-28 23:07:23.347167,2025-05-28 23:04:53.347167,300,30,0.14247,20,0.06839999999999999,0.01416964880893034,0.093,0.0892,0.09223999999999999,0.064,0.0745,0.010499999999999995,1.3485380116959065,0.0,0.06820999999999999,2331.46382,20,1292.4102000000003,407.0359104508955,2142.83,1981.6169000000002,2110.58738,966.73425,1549.06975,582.3355000000001,1.63306307857985,0.0,1284.3495450000003,train
8,2025-05-28 23:02:53.347167,2025-05-28 23:07:53.347167,2025-05-28 23:05:23.347167,300,30,0.14247,18,0.06977777777777777,0.014542253064192169,0.093,0.08959999999999999,0.09231999999999999,0.06525,0.076,0.010749999999999996,1.3230573248407642,0.0,0.06958888888888888,2331.46382,20,1295.7207,408.1320020336687,2142.83,1981.6169000000002,2110.58738,962.958,1549.06975,586.1117500000001,1.6288906860869012,0.0,1287.660045,train
9,2025-05-28 23:03:23.347167,2025-05-28 23:08:23.347167,2025-05-28 23:05:53.347167,300,30,0.14247,20,0.06789999999999999,0.01683011086056617,0.093,0.0892,0.09223999999999999,0.064,0.076,0.011999999999999997,1.3584683357879235,0.0,0.06770999999999999,2331.46382,20,1300.5014999999999,419.52581419157656,2142.83,1981.6169000000002,2110.58738,934.127,1549.06975,614.9427500000002,1.62290268792462,0.0,1292.440845,train
10,2025-05-28 23:03:53.347167,2025-05-28 23:08:53.347167,2025-05-28 23:06:23.347167,300,30,0.14247,22,0.06663636363636363,0.01740428369422571,0.093,0.08839999999999999,0.09215999999999999,0.064,0.07475,0.010749999999999996,1.3830286493860846,0.0,0.0664,2331.46382,20,1330.8589,387.9648283233796,2142.83,1981.6169000000002,2110.58738,965.57975,1549.06975,583.4900000000001,1.5858836575387518,0.0,1322.798245,train
11,2025-05-28 23:04:23.347167,2025-05-28 23:09:23.347167,2025-05-28 23:06:53.347167,300,30,0.14247,20,0.06515000000000001,0.017415283668753657,0.093,0.07780000000000001,0.08995999999999998,0.06375,0.07425,0.010499999999999995,1.3808135072908667,0.0,0.06439,2331.46382,20,1341.5062,384.0808327161847,2142.83,1981.6169000000002,2110.58738,975.7965,1549.06975,573.2732500000001,1.573296776414451,0.0,1333.4455450000003,train
12,2025-05-28 23:04:53.347167,2025-05-28 23:09:53.347167,2025-05-28 23:07:23.347167,300,30,0.14247,20,0.062150000000000004,0.016868765905006054,0.077,0.07604999999999999,0.07681,0.0575,0.074,0.016499999999999994,1.2358809332260658,0.0,0.062102500000000005,2331.46382,20,1254.40915,347.83458434604637,2142.83,1828.0161500000002,2079.8672299999994,966.3445,1475.09925,508.75474999999994,1.6580453275552076,0.0,1238.6684575000002,train
13,2025-05-28 23:05:23.347167,2025-05-28 23:10:23.347167,2025-05-28 23:07:53.347167,300,30,0.14247,20,0.0596,0.017515106261979146,0.077,0.07604999999999999,0.07681,0.042499999999999996,0.07325,0.03075,1.288758389261745,0.0,0.059552499999999994,2331.46382,20,1224.946,362.2009684297844,2142.83,1828.0161500000002,2079.8672299999994,958.15125,1475.09925,516.948,1.6979256473346576,0.0,1209.2053075,train
14,2025-05-28 23:05:53.347167,2025-05-28 23:10:53.347167,2025-05-28 23:08:23.347167,300,30,0.14247,21,0.05552380952380952,0.017203543378092337,0.076,0.076,0.076,0.041,0.073,0.031999999999999994,1.3687821612349915,0.0,0.05552380952380952,2331.46382,20,1160.6365,336.688704277799,2142.83,1589.1624000000004,2032.0964799999992,946.443,1437.4245,490.9815000000001,1.7508466087358092,0.0,1132.9531200000001,train
15,2025-05-28 23:06:23.347167,2025-05-28 23:11:23.347167,2025-05-28 23:08:53.347167,300,30,0.14247,22,0.05363636363636364,0.01668916230756171,0.076,0.07595,0.076,0.04025,0.072,0.031749999999999994,1.4169491525423727,0.0,0.05363181818181819,2331.46382,20,1170.5075,328.3393884652538,2142.83,1589.1624000000004,2032.0964799999992,958.15125,1437.4245,479.2732500000001,1.7360815543685106,0.0,1142.82412,train
16,2025-05-28 23:06:53.347167,2025-05-28 23:11:53.347167,2025-05-28 23:09:23.347167,300,30,0.14247,20,0.05515000000000001,0.01935071058126807,0.096,0.07700000000000001,0.09219999999999998,0.04,0.07325,0.033249999999999995,1.6718041704442421,0.0,0.054200000000000005,2331.46382,20,1148.0855499999998,315.6351656173002,2142.83,1550.9220500000004,2024.448409999999,956.04375,1230.73875,274.69499999999994,1.763325398529752,0.0,1118.4901525,train
17,2025-05-28 23:07:23.347167,2025-05-28 23:12:23.347167,2025-05-28 23:09:53.347167,300,30,0.14247,20,0.05945,0.030545005621558704,0.162,0.09930000000000005,0.14945999999999993,0.04,0.07325,0.033249999999999995,2.5140454163162307,0.05,0.056315000000000004,2331.46382,20,1087.97345,213.42104217657223,1519.769,1486.2226,1513.05972,956.04375,1131.4305,175.3867499999999,1.390713826702297,0.0,1086.29613,train
18,2025-05-28 23:07:53.347167,2025-05-28 23:12:53.347167,2025-05-28 23:10:23.347167,300,30,0.14247,20,0.06395,0.03187223672232953,0.162,0.10405000000000005,0.15040999999999993,0.042249999999999996,0.07425,0.032,2.3519937451133686,0.05,0.06105250000000001,2331.46382,20,1068.2325,205.13758806495036,1519.769,1486.2226,1513.05972,940.1205,1131.2222499999998,191.1017499999998,1.4164142356649885,0.0,1066.55518,train
19,2025-05-28 23:08:23.347167,2025-05-28 23:13:23.347167,2025-05-28 23:10:53.347167,300,30,0.14247,20,0.06325,0.031287924356312224,0.162,0.10405000000000005,0.15040999999999993,0.04375,0.07325,0.0295,2.3780237154150186,0.05,0.06035250000000001,2331.46382,20,1047.3682,179.7685132240905,1519.769,1474.3694500000001,1510.6890899999999,940.1205,1092.134,152.01350000000002,1.4423667722583138,0.0,1045.0982225,train
20,2025-05-28 23:08:53.347167,2025-05-28 23:13:53.347167,2025-05-28 23:11:23.347167,300,30,0.14247,20,0.0952,0.0792614594072581,0.322,0.2574000000000001,0.3090799999999999,0.044,0.11225,0.06825,3.2466386554621836,0.25,0.09197000000000001,2331.46382,22,1144.4724999999999,312.3834825429963,1939.076,1918.0640999999998,1939.06571,947.35,1220.953,273.60299999999995,1.6942877264416578,0.0,1142.5645545454545,train
21,2025-05-28 23:09:23.347167,2025-05-28 23:14:23.347167,2025-05-28 23:11:53.347167,300,30,0.14247,24,0.08795833333333335,0.0739485597747084,0.322,0.24184999999999984,0.30635999999999997,0.044,0.09725,0.053250000000000006,3.483012790146849,0.20833333333333334,0.08411249999999998,2331.46382,24,1120.1427916666664,290.79453056275935,1939.076,1876.1382999999992,1939.06473,958.338,1131.2222499999998,172.88424999999984,1.7310870939184952,0.0,1114.900025,train
22,2025-05-28 23:09:53.347167,2025-05-28 23:14:53.347167,2025-05-28 23:12:23.347167,300,30,0.14247,26,0.09423076923076922,0.07060555654751696,0.322,0.23375,0.305,0.04475,0.1115,0.06675,3.2367346938775516,0.19230769230769232,0.09005769230769231,2331.46382,26,1112.8644615384615,281.4078088034134,1939.076,1834.2125,1939.06375,940.512,1111.9505,171.43849999999998,1.7424078286401317,0.0,1104.7999230769228,train
23,2025-05-28 23:10:23.347167,2025-05-28 23:15:23.347167,2025-05-28 23:12:53.347167,300,30,0.14247,30,0.09590000000000001,0.0645693158684846,0.322,0.21754999999999977,0.30228000000000005,0.04775,0.10625,0.058499999999999996,3.1520333680917623,0.16666666666666666,0.09120333333333333,2331.46382,28,1173.0324285714285,425.2918666455386,2253.334,2143.3241999999996,2253.3259,941.408,1183.551,242.14299999999992,1.9209408411191167,0.0,1165.175657142857,train
24,2025-05-28 23:10:53.347167,2025-05-28 23:15:53.347167,2025-05-28 23:13:23.347167,300,30,0.14247,28,0.09932142857142856,0.06546701378694383,0.322,0.22564999999999988,0.30364,0.04925,0.10875,0.0595,3.057144911902194,0.17857142857142858,0.09486785714285713,2331.46382,30,1161.9679333333331,416.85869726719835,2253.334,2111.9013999999993,2253.3253,940.512,1163.594,223.0820000000001,1.9392319145468102,0.0,1152.540093333333,train
25,2025-05-28 23:11:23.347167,2025-05-28 23:16:23.347167,2025-05-28 23:13:53.347167,300,30,0.14247,34,0.09467647058823529,0.06013052499064534,0.322,0.2013499999999998,0.2995600000000001,0.053,0.10325,0.050249999999999996,3.1640385212799016,0.14705882352941177,0.08957941176470585,2331.46382,32,1139.6876562500001,404.7284547299631,2253.334,2080.4786,2253.3247,921.34325,1183.551,262.2077499999999,1.9771423228485983,0.0,1128.88513125,train
26,2025-05-28 23:11:53.347167,2025-05-28 23:16:53.347167,2025-05-28 23:14:23.347167,300,30,0.14247,33,0.09463636363636363,0.06106237496497853,0.322,0.2053999999999999,0.30024,0.053,0.104,0.051,3.172564841498559,0.15151515151515152,0.089630303030303,2331.46382,34,1135.2923235294118,392.1256100020735,2253.334,2049.055799999999,2253.3241,940.04675,1163.594,223.54725000000008,1.984796385299987,0.0,1123.2768411764705,train
27,2025-05-28 23:12:23.347167,2025-05-28 23:17:23.347167,2025-05-28 23:14:53.347167,300,30,0.14247,38,0.08913157894736844,0.05663404145470813,0.322,0.18514999999999987,0.29684000000000016,0.05225,0.09575,0.043500000000000004,3.3303572483023336,0.10526315789473684,0.08371842105263157,2331.46382,36,1123.5986388888887,386.0615334437284,2253.334,2017.633,2253.3235,865.2445,1161.0819999999999,295.83749999999986,2.0054523225733707,0.0,1110.504972222222,train
